App,Sentiment_Subjectivity,Sentiment_Polarity,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Current Ver 1,Current Ver 2,Current Ver 3,Current Ver 4,Current Ver 5,Current Ver 6,Android Ver 1,Android Ver 2,Android Ver 3,Android Ver 4,Android Ver 5
0,0,0.48059107281607255,0.4566108360389611,15,4.0,2490,3800000.0,5,0,0.0,2,37,1487307600.0,1.9,2.3.3 and up,1,9,0,0,0,0,2,3,3,0,0
1,1,0.44395693542568554,0.18129421446608945,26,3.8,48732,20000000.0,8,0,0.0,1,58,1533009600.0,7.8.1,4.0 and up,7,8,1,0,0,0,4,0,0,0,0
2,2,0.5910984848484849,0.31814477362914867,20,4.7,23160,26000000.0,6,0,0.0,1,42,1532664000.0,7.4.1,5.0 and up,7,4,1,0,0,0,5,0,0,0,0
3,3,0.5294495400432901,0.18647578463203457,14,4.6,214878,10000000.0,8,0,0.0,1,10,1533268800.0,2.0.4,4.1 and up,2,0,4,0,0,0,4,1,0,0,0
4,4,0.4164583333333334,0.3596527777777777,23,4.2,115773,17708452.45098039,8,0,0.0,1,47,1526961600.0,Varies with device,4.1 and up,0,0,0,0,0,0,4,1,0,0,0
5,5,0.5510479902042402,0.2580136784511785,15,4.4,11506,15000000.0,4,0,0.0,1,37,1533182400.0,3.0.0,4.1 and up,3,0,0,0,0,0,4,1,0,0,0
6,6,0.5304712036329684,0.2662538117519735,7,4.4,41605,8100000.0,5,0,0.0,3,23,1532577600.0,4.813,4.0.3 and up,4,813,0,0,0,0,4,0,3,0,0
7,7,0.3966579365079365,0.22312904265873018,30,4.5,768833,17708452.45098039,9,0,0.0,1,68,1532923200.0,Varies with device,Varies with device,0,0,0,0,0,0,0,0,0,0,0
8,8,0.5829217365967365,0.40189419955044947,7,4.0,337,32000000.0,2,0,0.0,3,23,1533009600.0,2.8.0,4.3 and up,2,8,0,0,0,0,4,3,0,0,0
9,9,0.37702250180375174,0.16896820887445888,6,4.2,15880,32000000.0,6,0,0.0,1,22,1533268800.0,5.65.0,4.0 and up,5,65,0,0,0,0,4,0,0,0,0
10,10,0.43290562859759285,0.2584910768794698,15,4.8,471036,17708452.45098039,8,0,0.0,1,37,1533268800.0,Varies with device,4.0 and up,0,0,0,0,0,0,4,0,0,0,0
11,11,0.11193181818181819,0.07670454545454546,28,4.6,666521,25000000.0,8,0,0.0,1,64,1532836800.0,5.5.9,4.1 and up,5,5,9,0,0,0,4,1,0,0,0
12,12,0.0,0.0,23,4.1,62209,7400000.0,8,0,0.0,1,47,1530417600.0,6.7.1,4.0.3 and up,6,7,1,0,0,0,4,0,3,0,0
13,13,0.0,0.0,0,4.4,1518,37000000.0,4,0,0.0,1,5,1533268800.0,1.2.3,2.3 and up,1,2,3,0,0,0,2,3,0,0,0
14,14,0.02,0.028409090909090905,23,4.5,1724,21000000.0,4,0,0.0,3,47,1529985600.0,5.34.10,4.0.3 and up,5,34,10,0,0,0,4,0,3,0,0
